结构	用途选车	城市	国别	品牌	口碑参数	车系	论坛用词	资讯关键词	动作指令	保养项目	保养次数	问时间	问价格	生产厂商	指定拆词	外观描述	动力描述	配置描述	价格描述	排量描述	车身配置	车身参数	驱动电机数	发动机型号	进气形式	配气机构	发动机特有技术	供油方式	变速箱类型	驱动方式	助力类型	车体结构	驻车制动类型	备胎规格	四驱形式	中央差速器结构	电池类型	后排车门开启方式	电机布局	变速箱和简称	变速箱	简称	能源类型	缸盖材料和缸体材料	缸盖材料	缸体材料	前悬架类型和后悬架类型	前悬架类型	后悬架类型	前制动器类型和后制动器类型	前制动器类型	后制动器类型	级别	版型	颜色	环保标准	厂商	询价用词	热门	省	侧滑门	车窗一键升降	多天窗	方向盘调节	后排座椅放倒方式	近光灯	近光灯和远光灯	可变悬架	外接音源接口	扬声器品牌	远光灯	座椅材质	颜色类型	CD/DVD	可加热/制冷杯架	前桥限滑差速器/差速锁和后桥限滑差速器/差速锁	前桥限滑差速器/差速锁	后桥限滑差速器/差速锁	加速度描述	发动机	问公里
两厢	舒适性好	合肥	中国	ABT	油耗	5008经典	精华帖	文章	读	制动液	第一次保养	什么时间	价格	合资	4S店	外观好看	性能车	配置最高	价格低	油耗低	主/副驾驶座安全气囊	厂商指导价(元)	单电机	491QE	自然吸气	SOHC	可变相位	多点电喷	手动变速箱(MT)	前置后驱	机械液压助力	非承载式	手刹	全尺寸	分时四驱	托森式差速器	镍氢电池	侧滑门	前置	5挡手动	双离合	end	纯电动	铝合金	end	end	双横臂式独立悬架	带扭杆弹簧的双叉形臂独立悬架	四连杆重载螺旋弹簧	盘式	end	end	紧凑型SUV	限量	白	国VI	郑州日产	优惠价	最近热门的	安徽省	手动侧滑门	前排	双天窗	上下调节	比例放倒	氙气+LED	氙气	软硬+高低调节	USB+AUX+SD卡插槽	BOSE	激光	织物	外观颜色	单碟CD	加热	差速锁	end	限滑差速器+差速锁	百公里加速最快	L4	多少公里
两箱	入门代步	淮南	德国	AC Schnitzer	空间	4008进口	论坛	新车上市	播放	刹车油	首保	什么时候	多少钱	进口	4S	有点酷	马力大	配置比较先进	价格便宜	低油耗	前/后排侧气囊	厂商指导价	双电机	JM491Q-ME	涡轮增压	DOHC	可变气门正时	直喷	自动变速箱(AT)	前置四驱	电子液压助力	承载式	电子驻车	非全尺寸	全时四驱	多片离合器	磷酸铁锂电池	平开门	前置+后置	4挡自动	手动档		电动	铸铁			麦弗逊式独立悬架	轻质四连杆式独立悬架	钢板弹簧结构	通风盘式			中型SUV	周年	珍珠贝白色	国6	一汽-大众	优惠	end	安徽	双侧电动侧滑门	主驾驶位	end	上下+前后调节	整体放倒	end	卤素	软硬调节	USB+AUX	JBL	卤素+氙气	皮/织物混搭	车身颜色	多碟CD	制冷	限滑差速器		end	百公里加速快	发动机L4	多远
掀背	撩妹利器	淮北	德系	Agile Automotive	动力	4008	媳妇当车模	新闻	转人工	前刹车片	1保	多久	费用	自主	经销商	外形比较好看	大马力	高配	低价位	油耗小	前/后排头部气囊(气帘)	厂商	四电机	4G64S4M	机械增压	OHV	可变进气歧管	混合喷射	双离合变速箱(DCT)	前置前驱	电动助力	end	脚刹	end	适时四驱	开放式差速器	锂离子电池	折叠门	后置	6挡自动	手动的		新能源	铝镁合金			五连杆式独立悬架	带弹簧独立悬架	纵向托臂式扭力梁	陶瓷通风盘式			紧凑型车	纪念	象牙白/海军蓝	国六	长安铃木	落地价		四川省	单侧电动侧滑门	全车车窗一键升降		前后调节	end		LED	高低调节	AUX+SD卡插槽	Burmester柏林之声	卤素+LED	仿皮	内饰颜色	单碟DVD	end	end			百公里加速很快	L4发动机	end
旅行版	都市白领	芜湖	日本	ALPINA	操控	3008	媳妇儿当车模	资讯	人工答主	前制动片	第一次保养	多长时间	end	end	end	好看的车	大码力	配置高	便宜经济	油耗底	前/后排头部气囊	级别	end	EA113	双涡轮增压	end	可变长度进气歧管	单点电喷	无级变速箱(CVT)	后置后驱	无助力		电子刹车		电动四驱	机械扭矩限滑差速器	三元锂电池	end	end	7挡双离合	手动挡		混合动力	铝			多连杆独立悬架	前为独立扭矩杆	复合扭力梁式非独立悬架	碳纤通风盘式			中大型车	短轴	牡蛎色/象牙白	国V	昌河铃木	全款		四川	end	全车一键升降		end			end	end	USB	HarmanKardon哈曼卡顿	end	仿皮+真皮	颜色	多碟DVD					加速很快	L6	
硬顶敞篷车	创业伙伴	铜陵	日系	Apollo	操控性	F3	end	头条	人工客服	发动机机油	一保	end				颜值高	end	配置好一点	便宜的	省油	膝部气囊	发动机		EA211	机械+涡轮增压		AVS可变气门升程系统	end	手自一体变速箱(AT)	后置四驱	电子电传助力		电子手刹		end	粘性联轴节	镍钴锰池			CVT无级变速(模拟8挡)	手自一体		混动	铁			四连杆独立悬架	双叉臂独立悬架	梯形连杆式独立悬架	鼓式			中型车	中轴	落月/乌堤	国五	南京菲亚特	裸车价		福建省		end							USB+AUX+HDMI	Meridian英国之宝		皮/织物混搭+仿皮	end	多碟CD+多碟DVD					加速最快	L6发动机	
软顶敞篷车	空间宽敞	蚌埠	美国	Arash	舒适性	F0		end	转答主	发动机润滑油	首次保养					end		配置全	便宜	最省油	胎压监测装置	变速箱		BDW	四涡轮增压		VVT		机械式自动变速箱(AMT)	中置后驱	液压助力		end			冠状齿轮差速器	end			6挡手动	自动档		氢燃料电池	end			双横臂式独立悬架带横向稳定杆	长短臂式带高、低控制臂	梯形导向摆臂式后独立悬架	end			中大型SUV	长轴	陶瓷白	国5	奇瑞汽车	裸车报价		福建									AUX	Revel锐威		织物+真皮		多碟CD+单碟DVD					提速快	发动机L6	
硬顶跑车	硬派越野	马鞍山	美系	ARCFOX	舒适感	E6			接人工	机油	第二次保养							好配置	最便宜	较省油	零胎压继续行驶	长*宽*高(mm)		BFM	三涡轮增压		S-VT+VIS		电子无级变速箱(E-CVT)	中置四驱	end					粘性联轴节+牙嵌式差速锁				CVT无级变速(模拟7挡)	自动的		增程式				整体桥非独立悬架	三连杆式悬架	五连可变弹簧				大型SUV	对开门	玛莎拉色/乳白	国IV	一汽丰田	end		广东省									USB+HDMI	Bowers&Wilkins宝华韦健		真皮		单碟CD+多碟CD					百米加速很快	V6	
客车	适合女性	安庆	美式	BAC	舒适度	URV			找人工	变速箱油	二保							配置好	价格最低	油耗最低	安全带未系提示	车身结构		BBJ	自吸		MIVEC气门正时电子控制系统		E-CVT+自动变速箱	双电机四驱						end				6挡手自一体	自动挡		插电式混合动力				带稳定杆	双球节控制臂前悬架系统	可变空气承载				大型车	行政	象牙白	国四	一汽-大众奥迪			广东									USB+HDMI+存储卡插槽	MarkLevinson马克莱文森		end		单碟CD+单碟DVD					end	V6发动机	
货车	改装潜力股	黄山	韩国	Caterham	内饰	XCLASS			找答主	AT变速箱油	2保							end	没有多少钱	end	ISOFIX儿童座椅接口	最高车速(km/h)		AUK	双涡轮		DualVVT-i		序列变速箱	中置前驱										5挡手自一体	end		插电式				单管气体减振	双球节弹簧减振支柱前桥	四连杆式非独立悬架				微型车	硬顶	白色/灰色	国4	广汽丰田			海南省									USB+SD卡插槽	Fender芬德				虚拟多碟CD+单碟DVD						发动机V6	
敞篷	节能先锋	宿州	韩系	Conquest	性价比	6008			接答主	MT变速箱油	第2次保养								没什么钱		儿童座椅接口	最高车速		BVJ	涡轮		VVT-i		固定齿比变速箱	四电机四驱										CVT无级变速(模拟6挡)			插电式混动				前稳定杆	三叉臂式前悬架	四连杆整体桥式非独立悬架				小型车	软顶	浅奶油色	国III	雷克萨斯			吉林省									存储卡插槽	Dynaudio丹拿				单碟CD+多碟DVD						V8	
敞篷车	家居旅行	滁州	棒子国	Dacia	end	S级AMG			人工问答	后刹车片	第三次保养								没多少钱		发动机电子防盗	官方0-100km/h加速(s)		BDX	end		VVT-i		ISR变速箱	前驱										4挡手自一体			柴油				螺旋弹簧双叉臂独立悬架	长短臂球节式螺旋弹簧独立悬架配横向稳定杆	TTL双天梯多连杆式独立悬架				MPV	敞篷	白色/粉色	国3	双环汽车			海南									USB+AUX+HDMI+存储卡插槽	Naim				虚拟多碟CD						V8发动机	
三厢	小钢炮	巢湖	法国	Datsun		SL级AMG			呼叫人工	后制动片	三保								经济实惠		车内中控锁	实测0-100km/h加速(s)		CCE			EFI		序列变速箱(AMT)	后驱										5挡自动			汽油				麦弗逊式独立悬架+横向稳定杆	独立双叉臂式	双连杆独立悬架				跑车	精英居家	白色/红色	国三	天津一汽			吉林									HDMI	SONY索尼				单碟DVD+多碟DVD						发动机V8	
3厢	安全性高	宣城	法系	DMC		SLS级AMG			人工服务	机油滤清器	3保								跑滴滴		遥控钥匙	实测100-0km/h制动(m)		CAJ			MVV垂直涡流稀薄燃烧技术		手动变速箱	四驱										9挡手自一体			油电混合				MRC主动电磁感应悬架系统	螺旋弹簧整体桥	单铰接点弧形刚性桥+瓦特连杆				小型SUV	尊贵掀背加距	烟白色/烟白色	国II	东风雪铁龙			江苏省									Aux接口	Infinity燕飞利仕				end						V10	
三箱	商务行政	池州	英国	Donkervoort		CC			需要人工	机滤	第3次保养								经济实惠		无钥匙启动系统	实测油耗(L/100km)		EA888			可变气门正时		MT	end										7挡手自一体			end				AIRMATIC主动空气悬架	独立双叉式悬架+横向稳定杆	扭力梁式非独立悬架				微面	豪华加距	沙滩白	国二	长城汽车			江苏									end	Lexicon莱斯康										V10发动机	
3箱	走出校园	六安	英系	DS		SLR级			咨询人工	正时皮带	第四次保养								end		无钥匙进入系统	实测油耗		BKB			电子节气门控制		自动变速箱											CVT无级变速							双叉臂式独立悬架	麦弗逊式独立悬架电磁减振	纵臂扭力梁式非独立悬架				皮卡	精英标准	古典白/桦茶色	国2	东风日产			江西省										Bang&Olufsen										发动机V10	
end	家用试驾	阜阳	意大利	Elemental		SLK级AMG			换人工	火花塞	四保										ABS防抱死	工信部综合油耗(L/100km)		L3			可变进排气门正时		AT											8挡手自一体							带有MBC智能车身控制及ABC主动车身控制的空气悬架	轻质双球节弹簧减振支柱前桥	螺旋弹簧式非独立悬架				微卡	卓越大双	白色/橙色	京V	一汽海马			江西										ALPINE阿尔派										V12	
	自吸大排量	亳州	瑞典	Faraday Future		SLCAMG			二手车估值	点火棍	4保										ABS	工信部综合油耗		LFX			电子节气门控制		双离合变速箱											5挡AMT							空气悬架	单节点弹簧减振支柱前桥	非独立单纵摆臂式				轻客	时尚真皮	白色/绿色	京5	东风本田			陕西省										Beats										V12发动机	
	内饰做工上乘	毫州	荷兰	Fisker		SLC			爱车估值	燃油滤清器	第4次保养										制动力分配(EBD/CBC等)	实测离地间隙(mm)		C8V93Q			D-CVVT		DCT											E-CVT无级变速							前独立短长臂悬架	前支柱连稳定杆独立悬架	纵向单摆臂式非独立				SUV	加长经典	糖果白	京五	长安福特			陕西										Boston波士顿										发动机V12	
	空间大	界首	捷克	FM Auto		SLA级			二手车	燃油宝	第五次保养										刹车辅助(EBA/BAS/BA等)	实测离地间隙		C698QA1			CVVT		无级变速箱											CVT无级变速(模拟4挡)							双横臂螺旋弹簧	双叉杆式悬架	H型扭力梁式悬架				mpv	蓝标智尚	阿尔卑斯白	欧VI	华晨中华			云南省										DENON天龙										H6	
	舒适性	蒙城	西班牙	GAZ		R级			购车计算器	燃油滤芯	五保										牵引力控制(ASR/TCS/TRC等)	离地间隙		Vortec6000V8OHV			CNG天然气		CVT											6挡双离合							横向稳定杆	带下三角臂和推力的麦弗逊悬架	复合多连杆式独立悬架				大型	高底盘豪华	朱鹭白	欧6	双龙汽车			云南										JBL+BOSE										H6发动机	
	越野	明光	自主	GLM		GLSAMG			团购	汽油滤芯	5保										车身稳定控制(ESC/ESP/DSC等)	整车质保		1GR			TWINPULSE系统		手自一体变速箱											3挡自动							五连杆整体桥式非独立悬架	双叉臂悬架+横向稳定杆带AVS适应式可调悬架	纵向拖曳臂				中型	数智导航	珠光白	欧六	上汽大众			黑龙江省										Pioneer先锋										发动机H6	
	越野车	宁国	国产	GMC		GLS			我要团购	空气滤清器	第5次保养										上坡辅助	长度(mm)		1UR			可变进气道		AT											10挡手自一体							前稳定杆	麦弗逊配三连杆式悬架	半拖曳臂独立式				中级车	大风景舒适	白色	欧V	上汽通用五菱			黑龙江										Morel摩雷										H4	
